,Augur,ICONOMI,Golem,Digix,Pluton (Plutus),SingularDTV,First Blood,VSice (VDlice),Hacker Gold (Ether.camp),Maker DAO,Chrono Bank,Unicorns (Ethereum Fundation),Xaurum,Acade City,Swarm City,Bitpark Coin,Round
0x00004aba4ac63de11447e4e17aca83f0abb1fc33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x000118f3bd5a727f663c85c671370760c7730927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0001aebe0b48bbf1cee8df2c0dfd7c2031543859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0001fe7648a2c144becdf9f17f0055315a519f86,0,0,0,0,0,0,0,0,0,0,134349877,0,0,0,0,0,0
0x000313efbb302549f83e35e50bf0a4e3f0a639af,0,0,2262127659574400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0004b15be8cb573a7be023e203e268dbcffd302b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0004bf1aff3e747f44d03f8bf8c77d8dbe43def1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00056ae52a47726b554fc84966ab4849f0584098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00057846c61b330ee36339db2330425f7d305df7,0,0,117650000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0006b28ac5d5c46beb1a14fb8fd7c04f84eadbac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0007c1046bc0a348ed9b6dc94ecd2b032a6f7200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x000849aa5fbb565f95feb671461cf8f2666d0bfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x000904798f3ac75c34192ceb4a2e714fccd025db,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0009808ecf4eef910e40c78782cee7321cfa6a66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0009a9f4f244a98b5467819a42ca3f00a0d8b10d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0009be88c3bf9e0fd0c43ad84ae994d8424fee03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x000ca7952eb41abe0f41383f8278543efd18c45b,0,0,0,0,0,0,0,0,0,37944790000000000000,0,0,0,0,0,0,0
0x000d0fba6fd44bde3ea254c1000ce159429f8bab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x000dab6a0f19e82c49f6f65e36e7c3611aca382d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x000dd05d893fcd0e27fbb71797a64d8a593db1d0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x000ee102d3ca744851a94c25c3eea1cfea5bc5a8,0,0,0,12742,0,0,400909090909090909090900,0,134406050,0,0,0,0,0,0,0,0
0x000f8d45cc1511db562d87070eb33d1529e7e784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0010c223851098a3b9e26681e4238d0a1c4cd966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0010d9cfa77b6efb69b62b0825f3d0ec48d5e10e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0011437162e6dc1ec052409484e11ed9042c33c5,0,0,0,0,0,0,0,3851600000000000000000,0,0,0,0,0,0,0,0,0
0x00117ca5a8b9ac2984a3bc9459fb0daecaadd6ac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x001763171ea564827b28a8aa9647c334fc7678de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00188b16a7353c484c488122db60bb01d82aaaea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x001998dce53f4f6186b20277ddd5a329777c2b72,1111111,0,0,304600000,0,0,0,0,0,0,0,0,0,0,0,0,0
0x001a85a1c97d337c4ab3f98b8c741494c934eeb1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x001ac65be7f619c6d25a85f222e877c0c74ce435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x001cd48baac4523a667ec7cd28613892c7409bb9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x001dc6c6e1a87e7d60b28b926de7374d29ab660e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x001eec54a91cb52801851a304a1398dd4c9cfac3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x001f07f1f9fee9240b5c702e493012feb0c1777f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x001f0dfe40593041bd39a45bd7154f2eada3e4fc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x001f40019f6e97468970b6555ba6ca2ffa2f6297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00203ab146c3ad64de4aa798cf9f0e42593c1a83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00203d0fdf48941172510b7f11b7f10f6fe7824e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0020dba1d308339182239056a00fcc146d2e26e0,0,0,302039641042115482900000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00279b1723a2d3328ad89deeec7ea07702f5cc8c,0,0,0,0,0,0,0,0,0,0,0,0,3999950000000,0,0,0,0
0x002add5778a3d327278a357a4983a57c1894af12,1000000000000000000,0,0,1010000000,0,0,0,0,0,0,0,0,0,0,0,0,0
0x002d8b97723a0cc905ab3360b56d9ffdf07ec818,0,521215870000000000,313490400000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x002d8c71386ff4c045658d8e549d4545b10d955a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x002f4c0891a6bd8dfb09a5823f3499f2e236c251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x002f68f86bd4cf67d969e7bf3ecacedfadbe532f,0,0,9799997000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00317cd2da2044840b1ebe775c676530a7c65ba3,229351960000000000000000,0,0,196954695900000,0,0,0,11546350000000000000000000,0,0,0,0,0,0,0,0,0
0x00320c624958997f6d8ec1d130a436e87a1f0b0e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0032c9093f206695576376efa5738034deb708b4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0035214e96147798904ff690806e3c5b25ebb86d,0,1651295965000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x003565e290b647163de76fd75bc50c5d6d687711,0,0,0,0,0,0,0,0,0,0,5000000000,0,0,0,0,0,0
0x0037a6b811ffeb6e072da21179d11b1406371c63,0,0,0,0,0,12,0,0,1000,0,0,0,0,10000000000000000000,0,0,0
0x003850d2e0f003b83d6b608b50cccbdc42ecc62e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0038f3843c67080c93489a5a77f0598f100bc210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x003a321741afea88701b181c28c1aec1808bc781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
