"","from","Augur","Digix","Golem"
"1",6.50970107139908e+42,0,0,3
"2",3.75229515995372e+43,0,0,53
"3",6.86389453296112e+43,0,0,5
"4",1.04653130536134e+44,0,2,0
"5",1.05850614026053e+44,0,0,3
"6",1.20815609161994e+44,1,0,0
"7",1.2198128339852e+44,0,0,1
"8",1.7291939193164e+44,0,0,2
"9",2.010965204817e+44,0,1,0
"10",2.15512034036462e+44,0,0,1
"11",2.82207458285286e+44,0,0,7
"12",2.91279813036735e+44,1,0,0
"13",3.31811659197118e+44,0,0,2
"14",3.46817761049567e+44,1,0,0
"15",3.7372379340359e+44,2,0,0
"16",3.89970962695471e+44,0,1,0
"17",5.47334200978812e+44,0,0,2
"18",5.70834864267552e+44,1,1,0
"19",5.97098881801169e+44,0,1,0
"20",6.92015227507743e+44,0,1,0
"21",6.96898839657921e+44,0,0,2
"22",7.32756502942801e+44,0,0,35
"23",1.0156936761492e+45,0,0,14
"24",1.05475847392451e+45,0,0,2
"25",1.05727923542721e+45,0,0,3
"26",1.10361018741984e+45,0,2,0
"27",1.27005501416022e+45,0,0,9
"28",1.45974870264028e+45,2,0,0
"29",1.5313750612859e+45,0,0,2
"30",1.54959390538015e+45,1,0,0
"31",1.66227512388225e+45,1,0,0
"32",1.70758787598494e+45,0,0,5
"33",1.72433410708046e+45,0,0,3
"34",1.8940066180037e+45,2,1,0
"35",1.96068795065773e+45,0,0,2
"36",2.38945997829449e+45,0,0,2
"37",2.459206242744e+45,0,0,1
"38",2.47264590635581e+45,0,1,0
"39",2.49389735963684e+45,0,0,2
"40",2.53012841694205e+45,0,18,0
"41",2.53850085178601e+45,0,0,1
"42",2.59449613198778e+45,0,0,2
"43",2.70410065711764e+45,0,0,1
"44",2.77471322219596e+45,0,0,5
"45",3.06062002382455e+45,0,0,2
"46",3.1321057104492e+45,0,1,0
"47",3.27806153841714e+45,0,0,16
"48",3.30775397586067e+45,0,0,8
"49",3.38980202822296e+45,0,0,6
"50",3.41993293552416e+45,0,740,0
"51",3.54524486099329e+45,0,0,1
"52",3.66648080848009e+45,0,0,1
"53",3.74838643239795e+45,0,0,2
"54",3.82240938058999e+45,2,0,0
"55",3.83080268980033e+45,0,0,2
"56",3.83349752277871e+45,0,1,0
"57",3.85430372133214e+45,0,0,8
"58",3.91603650720605e+45,1,0,0
"59",3.93917038302664e+45,0,0,1
"60",4.01009463302241e+45,0,1,0
"61",4.0175088971005e+45,0,0,35
"62",4.02078670289862e+45,0,0,2
"63",4.03982701146342e+45,0,0,3
"64",4.04597131881053e+45,2,0,0
"65",4.15333941910455e+45,0,0,5
"66",4.15733066229252e+45,0,0,1
"67",4.28784220286769e+45,0,0,2
"68",4.30471813469442e+45,0,0,1
"69",4.40800752341216e+45,0,0,2
"70",4.42899968569479e+45,0,0,3
"71",4.45121853361804e+45,0,1,0
"72",4.58847354007804e+45,0,0,1
"73",4.61253411049543e+45,0,2,0
"74",4.69141198415168e+45,0,0,2
"75",4.79843263931453e+45,0,0,1
"76",4.8053423304021e+45,0,0,1
"77",4.86128810011379e+45,0,0,2
"78",4.86416206300475e+45,0,0,2
"79",5.04480403823372e+45,0,1,8
"80",5.06290157519254e+45,0,0,13
"81",5.08394970861411e+45,0,0,3
"82",5.16457231393097e+45,0,0,2
"83",5.23828423791398e+45,0,0,1
"84",5.27567600332267e+45,0,0,2
"85",5.28579734210085e+45,0,1,0
"86",5.29125016933937e+45,0,0,4
"87",5.35772362994501e+45,0,0,3
"88",5.53788144452341e+45,0,0,6
"89",5.60814944778273e+45,0,1,0
"90",5.64880159971482e+45,0,0,3
"91",5.68925776476366e+45,0,3,0
"92",6.11818854491438e+45,0,0,12
"93",6.16590746061372e+45,0,0,2
"94",6.42161613755899e+45,1,0,0
"95",6.48456107068988e+45,0,0,1
"96",6.88161471951913e+45,0,0,1
"97",7.07549844436116e+45,0,1,0
"98",7.22544332016807e+45,1,0,0
"99",7.46612534387025e+45,0,1,0
"100",7.54262262041242e+45,2,0,0
"101",7.95364381872052e+45,0,1,0
"102",8.18420819241808e+45,0,0,127
"103",8.41201352255414e+45,1,0,0
"104",8.63340847572938e+45,0,0,1
"105",8.72998864671517e+45,0,0,5
"106",8.96333850271321e+45,4,0,0
"107",9.45220382184716e+45,0,5,0
"108",9.4861820232403e+45,0,1,0
"109",9.60790234844399e+45,2,0,0
"110",9.78244584722762e+45,0,0,1
"111",9.79234760999878e+45,0,1,0
"112",1.00956034382084e+46,0,1,0
"113",1.04253966282874e+46,0,0,1
"114",1.05271949698247e+46,0,42,0
"115",1.06371076073029e+46,1,0,0
"116",1.08794962194163e+46,20,0,0
"117",1.09099936928686e+46,0,0,1
"118",1.10429755541793e+46,1,0,3
"119",1.10987967861151e+46,0,0,1
"120",1.11055284999973e+46,0,1,0
"121",1.11934274097232e+46,0,0,14
"122",1.13930923138545e+46,0,1,0
"123",1.22928489812059e+46,6,0,0
"124",1.23259650496875e+46,0,1,0
"125",1.27193444349679e+46,3,0,6
"126",1.31432568271087e+46,0,0,3
"127",1.32589856098141e+46,0,0,1
"128",1.35531391636206e+46,0,2,0
"129",1.38530037114877e+46,6,0,0
"130",1.40458746058647e+46,2,0,0
"131",1.43763585768863e+46,1,0,0
"132",1.50067443826885e+46,1,0,0
"133",1.55034293418438e+46,2,0,0
"134",1.56841666503873e+46,4,9,3
"135",1.59386453842288e+46,4,0,1
"136",1.61259591215131e+46,0,2,0
"137",1.66304619254035e+46,3,0,0
"138",1.66873147314633e+46,0,0,2
"139",1.70301191411933e+46,0,1,0
"140",1.70348550946248e+46,0,1,0
"141",1.75660792913562e+46,0,1,0
"142",1.87591958188881e+46,1,0,0
